业务需求,板块,Tab/页面状态,URL,字段名（页面显示）,备注
微信相关词热度,WSO,相关词,/KeywordWSO/correlationWord?keyword=,月均搜索量|月均点击量,无下拉词数量列
微信下拉词热度,WSO,下拉词,/KeywordWSO/sugWord?keyword=,月均搜索量|月均点击量,无下拉词数量列
微信批量模式上限,WSO,批量模式,/KeywordWSO/searchWord?keyword=,个人版最多输入5个词,页面文案
微信批量模式上传入口,WSO,批量模式,/KeywordWSO/searchWord?keyword=,文件上传,页面控件文案
微信详情页的相关词字段,WSO,相关词列表,/WsoKeyWordDetail/competitive?keyword=,相关词TOP100,字段较轻量
哔侧词的搜索指数,BSO,搜索词,/KeywordBSO/searchWord?keyword=,搜索指数,单位w
哔侧词的下拉词规模,BSO,搜索词,/KeywordBSO/searchWord?keyword=,下拉词数量,数量口径
哔侧词的下拉词月搜索,BSO,搜索词,/KeywordBSO/searchWord?keyword=,下拉词月搜索,月度口径
哔侧词的类型标签,BSO,搜索词,/KeywordBSO/searchWord?keyword=,类型,热搜词/高转化词等
哔侧相关词热度,BSO,相关词,/KeywordBSO/correlationWord?keyword=,搜索指数,无下拉词列
哔侧下拉词热度,BSO,下拉词,/KeywordBSO/sugWord?keyword=,搜索指数,无下拉词列
哔侧详情页的内容生态趋势,BSO,详情,/BsoKeyWordDetail/detail?keyword=,内容指数|新增稿件量指数|新增相关UP主指数|播放量指数|互动量指数|搜索量指数,内容平台特征最明显
哔侧详情页的相关词字段,BSO,相关词列表,/BsoKeyWordDetail/competitive?keyword=,搜索指数|字数,相关词TOP100
哔侧详情页的关联图谱状态,BSO,关联分析,/BsoKeyWordDetail/competeSearch?keyword=,周|月|关联图谱,当前奶茶样本无数据
TSO词的搜索指数,TSO,搜索词,/KeywordTSO/searchWord?keyword=,搜索指数,需结合国家维度理解
TSO词的下拉词规模,TSO,搜索词,/KeywordTSO/searchWord?keyword=,下拉词数量,未选国家时可能无官方数据
TSO词的下拉词月搜索,TSO,搜索词,/KeywordTSO/searchWord?keyword=,下拉词月搜索,未选国家时可能无官方数据
TSO国家维度,TSO,搜索页,/KeywordTSO/searchWord?keyword=,请选择国家,会真实改变结果集
TSO相关词热度,TSO,相关词,/KeywordTSO/correlationWord?keyword=,搜索指数,与下拉词列模型一致
TSO下拉词热度,TSO,下拉词,/KeywordTSO/sugWord?keyword=,搜索指数,与相关词列模型一致
TSO话题榜作品规模,TSO,创意灵感话题榜,/KeywordTSOList/creativeIdeaTopics,作品数,榜单列
TSO话题榜趋势,TSO,创意灵感话题榜,/KeywordTSOList/creativeIdeaTopics,热度趋势,榜单列
TSO详情页主指标,TSO,详情,/TsoKeyWordDetail/detail?keyword=,搜索指数|下拉词数量|下拉词月搜索|字数,轻量详情模型
TSO详情页相关词字段,TSO,相关词列表,/TsoKeyWordDetail/competitive?keyword=,搜索指数|字数,相关词TOP100

